Epochs,Total_Loss,Content_Loss,Style_Loss
0,0.00047302618622779846,0.0,0.00047302618622779846
5,0.00047067535342648625,0.0,0.00047067535342648625
10,0.00046699101221747696,0.0,0.00046699101221747696
15,0.0004626792506314814,0.0,0.0004626792506314814
20,0.00045812997268512845,0.0,0.00045812997268512845
25,0.00045352004235610366,0.0,0.00045352004235610366
30,0.00044883080408908427,0.0,0.00044883080408908427
35,0.0004440655466169119,0.0,0.0004440655466169119
40,0.0004393062263261527,0.0,0.0004393062263261527
45,0.0004347377398516983,0.0,0.0004347377398516983
50,0.00043036972056142986,0.0,0.00043036972056142986
55,0.00042616011342033744,0.0,0.00042616011342033744
60,0.00042205178760923445,0.0,0.00042205178760923445
65,0.0004181811527814716,0.0,0.0004181811527814716
70,0.00041450350545346737,0.0,0.00041450350545346737
75,0.00041099434019997716,0.0,0.00041099434019997716
80,0.00040753791108727455,0.0,0.00040753791108727455
85,0.0004041987704113126,0.0,0.0004041987704113126
90,0.0004008955438621342,0.0,0.0004008955438621342
95,0.00039756332989782095,0.0,0.00039756332989782095
100,0.000394218455767259,0.0,0.000394218455767259
105,0.00039088711491785944,0.0,0.00039088711491785944
110,0.00038766139186918736,0.0,0.00038766139186918736
115,0.0003844935563392937,0.0,0.0003844935563392937
120,0.00038138325908221304,0.0,0.00038138325908221304
125,0.0003783410938922316,0.0,0.0003783410938922316
130,0.00037537055322900414,0.0,0.00037537055322900414
135,0.0003725105198100209,0.0,0.0003725105198100209
140,0.00036976143019273877,0.0,0.00036976143019273877
145,0.00036705302773043513,0.0,0.00036705302773043513
150,0.0003643769887275994,0.0,0.0003643769887275994
155,0.00036175301647745073,0.0,0.00036175301647745073
160,0.00035921233939006925,0.0,0.00035921233939006925
165,0.0003567649982869625,0.0,0.0003567649982869625
170,0.0003543663478922099,0.0,0.0003543663478922099
175,0.0003520332684274763,0.0,0.0003520332684274763
180,0.00034969928674399853,0.0,0.00034969928674399853
185,0.0003473935939837247,0.0,0.0003473935939837247
190,0.00034512398997321725,0.0,0.00034512398997321725
195,0.0003428703057579696,0.0,0.0003428703057579696
200,0.0003406583273317665,0.0,0.0003406583273317665
205,0.0003385127638466656,0.0,0.0003385127638466656
210,0.0003364509320817888,0.0,0.0003364509320817888
215,0.0003344323777128011,0.0,0.0003344323777128011
220,0.0003324471181258559,0.0,0.0003324471181258559
225,0.0003304567653685808,0.0,0.0003304567653685808
230,0.00032848678529262543,0.0,0.00032848678529262543
235,0.0003265523992013186,0.0,0.0003265523992013186
240,0.00032466655829921365,0.0,0.00032466655829921365
245,0.00032283211476169527,0.0,0.00032283211476169527
250,0.00032103562261909246,0.0,0.00032103562261909246
255,0.00031929949182085693,0.0,0.00031929949182085693
260,0.00031760064302943647,0.0,0.00031760064302943647
265,0.00031592402956448495,0.0,0.00031592402956448495
270,0.00031424008193425834,0.0,0.00031424008193425834
275,0.00031256029615178704,0.0,0.00031256029615178704
280,0.0003108879900537431,0.0,0.0003108879900537431
285,0.00030921364668756723,0.0,0.00030921364668756723
290,0.00030758228967897594,0.0,0.00030758228967897594
295,0.0003059915325138718,0.0,0.0003059915325138718
300,0.0003044304030481726,0.0,0.0003044304030481726
305,0.00030287422123365104,0.0,0.00030287422123365104
310,0.0003013436507899314,0.0,0.0003013436507899314
315,0.0002998197451233864,0.0,0.0002998197451233864
320,0.0002983234007842839,0.0,0.0002983234007842839
325,0.0002968384069390595,0.0,0.0002968384069390595
330,0.0002953479124698788,0.0,0.0002953479124698788
335,0.00029388797702267766,0.0,0.00029388797702267766
340,0.0002924795844592154,0.0,0.0002924795844592154
345,0.0002911107731051743,0.0,0.0002911107731051743
350,0.0002897532540373504,0.0,0.0002897532540373504
355,0.00028842766187153757,0.0,0.00028842766187153757
360,0.00028713882784359157,0.0,0.00028713882784359157
365,0.00028585002291947603,0.0,0.00028585002291947603
370,0.0002845504495780915,0.0,0.0002845504495780915
375,0.0002832588506862521,0.0,0.0002832588506862521
380,0.0002820095105562359,0.0,0.0002820095105562359
385,0.0002807963464874774,0.0,0.0002807963464874774
390,0.00027958714053966105,0.0,0.00027958714053966105
395,0.00027839140966534615,0.0,0.00027839140966534615
400,0.00027721605147235096,0.0,0.00027721605147235096
405,0.00027605422656051815,0.0,0.00027605422656051815
410,0.000274921563686803,0.0,0.000274921563686803
415,0.00027380260871723294,0.0,0.00027380260871723294
420,0.00027269692509435117,0.0,0.00027269692509435117
425,0.0002716125745791942,0.0,0.0002716125745791942
430,0.00027053969097323716,0.0,0.00027053969097323716
435,0.0002694774593692273,0.0,0.0002694774593692273
440,0.0002684182836674154,0.0,0.0002684182836674154
445,0.0002673755516298115,0.0,0.0002673755516298115
450,0.0002663573541212827,0.0,0.0002663573541212827
455,0.00026535693905316293,0.0,0.00026535693905316293
460,0.0002643813204485923,0.0,0.0002643813204485923
465,0.0002634304983075708,0.0,0.0002634304983075708
470,0.000262493675108999,0.0,0.000262493675108999
475,0.00026155717205256224,0.0,0.00026155717205256224
480,0.0002606278576422483,0.0,0.0002606278576422483
485,0.00025971076684072614,0.0,0.00025971076684072614
490,0.000258808140642941,0.0,0.000258808140642941
495,0.00025790854124352336,0.0,0.00025790854124352336
